Score,Episodes,Duration_format,Genre_format,Name_format,Type_format,Source_format,similarity
7,13,23,12,1858,0,3,0.9999999988271457
6,12,27,13,2126,0,3,0.9999984609088634
7,11,25,12,1888,0,1,0.9999983436214545
7,13,25,10,2039,0,2,0.99999831882398
8,12,24,13,1884,0,0,0.9999982452470904
7,13,23,12,2111,0,3,0.9999981054863676
7,13,23,13,1761,0,0,0.9999979512721565
7,12,24,10,1802,0,0,0.9999977830028993
9,13,24,10,1767,0,1,0.9999975265664907
7,13,20,10,1824,0,0,0.9999972125775736
6,15,30,18,2347,2,1,0.9999971404300768
7,12,24,10,2094,0,2,0.9999970330282598
7,13,24,8,1814,0,1,0.9999969595406613
8,13,24,10,1656,0,3,0.9999967805900051
7,13,24,18,2205,0,3,0.9999965869761429
6,13,25,13,1725,0,1,0.9999964488287653
8,13,24,8,1985,0,1,0.9999962709978035
7,13,24,18,2071,0,1,0.999996201397493
7,13,24,18,2064,0,1,0.9999961873164732
7,13,24,18,2140,0,1,0.9999961854638291
7,12,24,7,1769,0,3,0.9999961304457083
7,13,24,18,2000,0,1,0.9999959053953742
7,12,25,13,1758,2,0,0.9999958882671112
7,12,25,10,2228,0,3,0.9999958297043903
8,12,24,10,2204,0,3,0.9999957924150435
7,13,23,18,2209,0,3,0.999995778578278
7,13,25,10,1659,0,2,0.9999957728938215
7,12,24,18,2078,0,1,0.9999957402648546
7,12,24,18,2141,0,1,0.9999956424201075
7,12,24,18,2015,0,1,0.9999956039779322
6,13,25,8,1933,0,0,0.9999955626987899
8,12,24,8,1638,0,3,0.9999955304901688
5,20,30,18,2772,0,0,0.9999954377908618
6,12,24,18,2091,0,1,0.9999953996567504
6,12,24,18,2026,0,1,0.9999953467278718
7,12,24,18,2292,0,3,0.9999953211897754
8,12,23,18,2093,0,1,0.9999952979384554
6,12,25,18,2123,0,0,0.9999950821585426
7,12,23,18,2142,0,1,0.999994982150554
7,13,24,8,2098,0,1,0.9999949785893959
7,12,23,18,2208,0,2,0.9999949625506263
8,13,24,18,2333,2,1,0.9999948638337056
7,13,24,18,2413,0,3,0.9999947590698207
7,12,23,8,2048,0,1,0.9999947249080756
6,13,24,18,1901,0,1,0.9999946183823748
6,12,25,18,2414,0,3,0.9999944522674311
8,12,24,18,2407,0,2,0.9999941319307659
8,15,24,7,2153,0,3,0.9999940700870661
7,13,25,8,1639,0,3,0.9999940636928928
6,13,24,12,1591,0,0,0.9999937609540526
7,12,23,18,2229,0,0,0.9999937393058816
9,13,24,8,2197,0,1,0.9999936810351608
7,12,24,18,1878,0,0,0.9999935439354696
8,13,28,18,2822,0,3,0.9999934914950256
7,12,24,18,2406,0,1,0.999993441662973
7,12,24,18,2369,0,0,0.9999932865827178
7,12,24,18,2424,0,1,0.9999932176042332
7,20,24,18,2083,0,1,0.9999931129369957
8,11,23,18,2240,0,0,0.9999930207965041
7,12,24,18,2443,0,1,0.9999929736356714
7,12,24,18,2398,0,0,0.9999929526905542
6,12,24,18,2472,0,3,0.999992759228307
7,13,23,18,1786,0,1,0.9999927254145691
8,12,24,13,2436,0,0,0.999992592590825
